'Level of description','Identifier','Title','Date','Description','Format','Rights','Contributor','Collection identifier','Collection title','Published online?',MulMultiMediaRefLocal_1,URL
Sub-item,2008.0045.00001,Postcards to advise customers of the need to arrange servicing [1 of many],c.1950-1959,"Previous Control Number: ID 4552 ""That's no mouse mister!"" Inscriptions: Official sample",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1653,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00001
Sub-item,2008.0045.00002,Postcards to advise customers of the need to arrange servicing [2 of many],c.1950-1959,"Previous Control Number: ID 4552 ""We're on the lookout for you""",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1655,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00002
Sub-item,2008.0045.00003,Postcards to advise customers of the need to arrange servicing [3 of many],c.1950-1959,"Previous Control Number: ID 4552 ""Time to change""",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1657,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00003
Sub-item,2008.0045.00004,Postcards to advise customers of the need to arrange servicing [4 of many],c.1950-1959,"Previous Control Number: ID 4552 ""Don't be out of pocket"" Inscriptions: Official sample",,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1659,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00004
Sub-item,2008.0045.00005,Postcards to advise customers of the need to arrange servicing [5 of many],c.1950-1959,Previous Control Number: ID 4552 Check your speedo,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1661,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00005
Sub-item,2008.0045.00006,Postcards to advise customers of the need to arrange servicing [6 of many],c.1950-1959,Previous Control Number: ID 4552 Here's a call for you,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1663,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00006
Sub-item,2008.0045.00007,Postcards to advise customers of the need to arrange servicing [7 of many],c.1950-1959,Previous Control Number: ID 4552 Our Records show,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1665,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00007
Sub-item,2008.0045.00008,Postcards to advise customers of the need to arrange servicing [8 of many],c.1950-1959,Previous Control Number: ID 4552 Hey there! Take a look at the mileage,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1667,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00008
Sub-item,2008.0045.00009,Postcards to advise customers of the need to arrange servicing [9 of many],c.1950-1959,Previous Control Number: ID 4552 A little bird tells us...,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1669,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00009
Sub-item,2008.0045.00010,Postcards to advise customers of the need to arrange servicing [10 of many],c.1950-1959,Previous Control Number: ID 4552 Don't take risks,,This image is provided for research purposes and must not be reproduced without prior permission of University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au,,2008.0045,Shell Historical Archive,Yes,1671,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=2008.0045.00010
